Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,130.9,-78.7,-90.0,top
C2,10u,C_1206_3216Metric,133.7,-78.7,-90.0,top
C3,100n,C_0603_1608Metric,136.1,-77.9,-90.0,top
C4,22u,C_1210_3225Metric,147.24,-77.44,90.0,top
C5,22u,C_1210_3225Metric,152.03,-77.44,90.0,top
C6,22u,C_1210_3225Metric,152.9,-82.98,0.0,top
C7,22u,C_1210_3225Metric,152.9,-87.5,0.0,top
H1,12V,MountingHole_2.2mm_M2_DIN965_Pad,103.4,-79.1,-90.0,top
H2,12V,MountingHole_2.2mm_M2_DIN965_Pad,103.4,-84.9,-90.0,top
H3,12V,MountingHole_2.2mm_M2_DIN965_Pad,103.4,-73.5,-90.0,top
H4,GND,MountingHole_2.2mm_M2_DIN965_Pad,96.1,-85.0,-90.0,top
H5,GND,MountingHole_2.2mm_M2_DIN965_Pad,96.1,-73.4,-90.0,top
H6,GND,MountingHole_2.2mm_M2_DIN965_Pad,96.1,-79.1,-90.0,top
J1,12OUT,PinHeader_1x02_P5.00mm,120.93,-95.9,90.0,top
J2,5OUT,PinHeader_1x02_P5.00mm,152.13,-95.9,90.0,top
J3,12OUT,PinHeader_1x02_P5.00mm,142.03,-95.9,90.0,top
J4,12OUT,PinHeader_1x02_P5.00mm,131.73,-95.9,90.0,top
J5,12OUT,PinHeader_1x02_P5.00mm,110.97,-62.0,-90.0,top
J6,12OUT,PinHeader_1x02_P5.00mm,121.27,-62.0,-90.0,top
J7,12OUT,PinHeader_1x02_P5.00mm,152.2,-61.98,-90.0,top
J8,12OUT,PinHeader_1x02_P5.00mm,100.67,-62.0,-90.0,top
J9,12OUT,PinHeader_1x02_P5.00mm,141.9,-62.0,-90.0,top
J10,12OUT,PinHeader_1x02_P5.00mm,131.57,-62.0,-90.0,top
L1,2u2,L_Wuerth_WE-PD2-Typ-XL,142.8,-85.8,0.0,top
R1,100k,R_0603_1608Metric,136.8,-73.0,0.0,top
R2,15k,R_0603_1608Metric,142.8,-76.6,90.0,top
R3,11k,R_0603_1608Metric,140.0,-72.2,-90.0,top
R4,15k,R_0603_1608Metric,142.0,-79.3,0.0,top
R5,220k,R_1206_3216Metric,143.6,-73.3,0.0,top
SW1,SW_SPDT,remote switch,125.4,-79.1,90.0,top
U1,TPS566247DRLR,SOT-563,139.3,-76.3,0.0,top
